,F,GM,KMX,TSLA
Date,,,,
7/20/2018,9.565134048,36.56757736,77.13999939,62.7159996
7/23/2018,9.483612061,36.44691467,77.70999908,60.63999939
7/24/2018,9.57419014,36.64181519,75.59999847,59.48600006
7/25/2018,9.528902054,34.94337845,75.19999695,61.7480011
7/26/2018,8.958255768,34.10807037,75.37000275,61.33000183
7/27/2018,8.994486809,34.83200073,74.81999969,59.43600082
7/30/2018,9.121296883,34.96193314,75.08999634,58.0340004
7/31/2018,9.094122887,35.18468475,74.68000031,59.62799835
8/1/2018,8.967311859,34.47003555,73.23000336,60.16799927
8/2/2018,8.985427856,33.98741913,73.30000305,69.90799713
8/3/2018,9.094122887,35.0176239,74.69000244,69.63400269
8/6/2018,9.085063934,34.89696884,75.44999695,68.39800262
8/7/2018,9.130354881,34.87840652,75.58000183,75.91400146
8/8/2018,9.103180885,34.95265198,74.93000031,74.06800079
8/9/2018,8.976370811,34.81343842,74.16999817,70.48999786
8/10/2018,8.822385788,33.95957565,73.08000183,71.09799957
8/13/2018,8.568764687,33.56048965,72.38999939,71.28199768
8/14/2018,8.604997635,33.59761429,72.83999634,69.52799988
8/15/2018,8.559705734,33.35630417,72.76000214,67.73799896
8/16/2018,8.614055634,33.6811409,72.80000305,67.08999634
8/17/2018,8.650287628,33.76467514,73.62999725,61.09999847
8/20/2018,8.804270744,34.12663651,74.80000305,61.68799973
8/21/2018,8.931080818,34.25657272,75.81999969,64.37999725
8/22/2018,8.777095795,33.53264618,75.33999634,64.32800293
8/23/2018,8.72274971,33.10571289,75.02999878,64.01999664
8/24/2018,8.76803875,33.36558533,75.48999786,64.56400299
8/27/2018,9.048833847,34.98050308,76.66999817,63.85400009
8/28/2018,9.066947937,34.63709641,77.12000275,62.37200165
8/29/2018,9.03071785,34.45147705,77.68000031,61.0019989
8/30/2018,8.786154747,33.74611282,77.20999908,60.63000107
8/31/2018,8.586880684,33.4583931,78.05000305,60.33200073
9/4/2018,8.577823639,33.04074478,78.84999847,57.79000092
9/5/2018,8.595938683,32.75303268,78.86000061,56.14799881
9/6/2018,8.541592598,32.25578308,78.23999786,56.18999863
9/7/2018,8.396665573,31.81482124,78.86000061,52.64799881
9/10/2018,8.496302605,31.77729225,79.94000244,57.09999847
9/11/2018,8.432897568,31.68347359,80.61000061,55.88800049
9/12/2018,8.460071564,31.95555305,80.68000031,58.10800171
9/13/2018,8.487243652,32.13381195,80.18000031,57.89199829
9/14/2018,8.559705734,32.49033737,80.51999664,59.04000092
9/17/2018,8.650287628,32.85623932,79.84999847,58.9679985
9/18/2018,8.677459717,32.93129349,78.05999756,56.99200058
9/19/2018,8.858617783,33.52236557,78.56999969,59.80400085
9/20/2018,8.885791779,33.85074615,78.44999695,59.66600037
9/21/2018,8.922023773,33.13770294,78.16999817,59.81999969
9/24/2018,8.686518669,32.60291672,75.87999725,59.93600082
9/25/2018,8.50535965,31.47706223,75.87999725,60.19800186
9/26/2018,8.396665573,31.6459446,74.66000366,61.91600037
9/27/2018,8.360433578,31.58964539,73.81999969,61.50400162
9/28/2018,8.378549576,31.58964539,74.66999817,52.95399857
10/1/2018,8.441954613,32.08690262,73.69000244,62.13999939
10/2/2018,8.333260536,31.24250793,73.15000153,60.20399857
10/3/2018,8.269854546,31.89925957,73.51000214,58.95999908
10/4/2018,8.287970543,32.13381195,72.30000305,56.36600113
10/5/2018,8.260796547,32.01184464,70.88999939,52.38999939
10/8/2018,8.387607574,32.13381195,71.02999878,50.11199951
10/9/2018,8.106812477,30.63267326,70.77999878,52.56000137
10/10/2018,7.989059448,30.58576012,68.61000061,51.37599945
10/11/2018,7.98000288,30.31368065,67.84999847,50.44599915
10/12/2018,7.82601881,29.82580948,67.86000061,51.75600052
10/15/2018,7.98000288,30.13541603,68.38999939,51.91799927
10/16/2018,7.970944405,30.34182549,70.76000214,55.31800079
10/17/2018,7.93471384,29.95715904,69.91999817,54.35599899
10/18/2018,7.708266735,29.1596756,68.41999817,52.7820015
10/19/2018,7.699207783,29.27226067,68.65000153,52
10/22/2018,7.754530907,29.40361214,68.43000031,52.18999863
10/23/2018,7.920503139,30.13541603,69,58.82799911
10/24/2018,7.542457581,28.67180443,68.08999634,57.70000076
10/25/2018,8.289327621,30.02283287,70.65000153,62.97200012
10/26/2018,8.280105591,30.63267326,70.04000092,66.18000031
10/29/2018,8.556724548,31.08301353,70.66000366,66.97000122
10/30/2018,8.722695351,31.46768188,68.16000366,65.98000336
10/31/2018,8.805681229,34.32922745,67.91000366,67.46399689
11/1/2018,8.565944672,34.2166481,69.73000336,68.85600281
11/2/2018,8.64893055,33.80383301,69.79000092,69.28199768
11/5/2018,8.787239075,34.01024246,70.54000092,68.27999878
11/6/2018,8.796461105,34.20726395,70.45999908,68.21199799
11/7/2018,8.851784706,34.60131073,68.15000153,69.63200378
11/8/2018,8.722695351,34.31046677,67.98000336,70.27999878
11/9/2018,8.64893055,33.49422073,65.72000122,70.10199738
11/12/2018,8.750356674,33.48483658,65.02999878,66.2559967
11/13/2018,8.796461105,33.71001816,65.56999969,67.7460022
11/14/2018,8.796461105,33.0532608,62.86000061,68.80000305
11/15/2018,8.584387779,33.35349274,63.20999908,69.68800354
11/16/2018,8.344650269,33.54113388,62.02999878,70.86199951
11/19/2018,8.529062271,33.47545624,62.20999908,70.69400024
11/20/2018,8.353872299,32.92190933,60.90999985,69.4980011
11/21/2018,8.399973869,33.35349274,62.45999908,67.63800049
11/23/2018,8.41841507,33.71001816,62.24000168,65.16600037
11/26/2018,8.667370796,35.3237381,63.66999817,69.19999695
11/27/2018,8.556724548,34.42305374,64.65000153,68.78399658
11/28/2018,8.676592827,34.66699219,66.80999756,69.5739975
11/29/2018,8.639710426,34.48872757,66.08999634,68.23400116
11/30/2018,8.676592827,35.60520172,66.06999969,70.09600067
12/3/2018,8.851784706,36.0743103,65.66999817,71.69799805
12/4/2018,8.464517593,34.26355743,64.05000305,71.94000244
12/6/2018,8.316988945,33.84640503,64.51999664,72.61199951
12/7/2018,8.132575989,32.88884354,62.56000137,71.59400177
12/10/2018,7.855958462,32.63285828,62.34000015,73.02999878
12/11/2018,7.874398708,32.88884354,63.18999863,73.35199738
12/12/2018,7.966605186,33.82744217,63.34000015,73.31999969
12/13/2018,7.837516785,33.28703308,62.36000061,75.35800171
12/14/2018,7.855958462,33.27755356,61.20999908,73.14199829
12/17/2018,7.837516785,32.86040115,60.25999832,69.68399811
12/18/2018,7.809855461,33.0879364,59.75999832,67.40599823
12/19/2018,7.671545029,33.11638641,57.77999878,66.59400177
12/20/2018,7.616222858,32.49065018,56.72000122,63.07600021
12/21/2018,7.422589302,31.26762581,58.95999908,63.95399857
12/24/2018,7.035324097,30.68929672,59.04999924,59.07799911
12/26/2018,7.238177776,31.77959061,62.59000015,65.21800232
12/27/2018,7.238177776,32.19674683,63.18000031,63.22600174
12/28/2018,7.201294899,32.15882111,62.49000168,66.77400208
12/31/2018,7.053765297,31.71322441,62.72999954,66.55999756
1/2/2019,7.2842803,31.89336014,62.97000122,62.02399826
1/3/2019,7.173633099,30.57553291,61.88999939,60.0719986
1/4/2019,7.450251579,31.59945488,63.61000061,63.5379982
1/7/2019,7.643884182,32.57597733,66.43000031,66.99199677
1/8/2019,7.717648983,33.00261688,64.91000366,67.06999969
1/9/2019,8.040371895,33.35340118,65.63999939,67.70600128
1/10/2019,7.994267464,32.92676544,64.61000061,68.9940033
1/11/2019,8.132575989,35.2495575,64.98999786,69.45200348
1/14/2019,8.289327621,35.70463562,64.86000061,66.87999725
1/15/2019,8.151017189,35.60034943,64.38999939,68.88600159
1/16/2019,7.643884182,35.71411514,63.97000122,69.20999908
1/17/2019,7.708427906,36.27347946,64.55999756,69.46199799
1/18/2019,7.911281586,36.60531235,61.91999817,60.45199966
1/22/2019,7.837516785,36.16919708,59.45000076,59.7840004
1/23/2019,7.689987659,35.71411514,58.97999954,57.51800156
1/24/2019,7.92972374,36.17867661,59.43999863,58.30199814
1/25/2019,8.169458389,36.63375092,60.31000137,59.40800095
1/28/2019,7.985046387,36.46309662,60.08000183,59.27600098
1/29/2019,8.077253342,36.47257996,58.38999939,59.49200058
1/30/2019,8.171064377,37.06039429,58.97000122,61.75400162
1/31/2019,8.255496025,36.99402237,58.77999878,61.40399933
2/1/2019,8.180447578,36.76647949,59.18999863,62.44200134
2/4/2019,8.161684036,36.90869904,61.34000015,62.57799911
2/5/2019,8.208589554,37.25948715,61.93999863,64.26999664
2/6/2019,8.180447578,37.8378067,60.99000168,63.44400024
2/7/2019,7.795815945,36.64323807,60.11999893,61.5019989
2/8/2019,7.870865345,36.69063568,60.38000107,61.15999985
2/11/2019,7.814577579,36.62427521,60.68999863,62.56800079
2/12/2019,7.936534405,37.00349808,60.84999847,62.36199951
2/13/2019,7.889627457,36.97505951,61.36000061,61.63399887
2/14/2019,7.899009705,36.87077332,61.15999985,60.75400162
2/15/2019,8.011583328,37.06039429,62.06000137,61.57600021
2/19/2019,8.283640862,37.47754288,61.99000168,61.12799835
2/20/2019,8.386833191,37.87573242,62.40000153,60.51200104
2/21/2019,8.171064377,37.56287003,61.52000046,58.24599838
2/22/2019,8.171064377,37.91365814,60.54000092,58.94200134
2/25/2019,8.217971802,38.05587006,59.79999924,59.75400162
2/26/2019,8.330546379,38.02742767,60.95000076,59.5719986
2/27/2019,8.236733437,37.92314148,60.29999924,62.94800186
2/28/2019,8.227353096,37.43013763,62.09999847,63.97600174
3/1/2019,8.246115685,37.47754288,61.65000153,58.95800018
3/4/2019,8.264878273,37.21207809,59.83000183,57.0719986
3/5/2019,8.227353096,37.24052429,60.75,55.30799866
3/6/2019,8.049108505,36.6621933,61,55.2480011
3/7/2019,7.955295563,36.42282486,59.72000122,55.31800079
3/8/2019,7.899009705,36.37495041,58.38000107,56.82799911
3/11/2019,8.077252388,36.97816849,59.54999924,58.18399811
3/12/2019,8.039727211,36.97816849,60.99000168,56.67200089
3/13/2019,8.002202988,37.15050888,60.86999893,57.79199982
3/14/2019,7.889627457,36.41324615,60.61000061,57.99200058
3/15/2019,7.908390522,36.45154572,61.06000137,55.08599854
3/18/2019,8.039727211,36.36537552,60.49000168,53.89799881
3/19/2019,8.161684036,36.64304733,59.59999847,53.49399948
3/20/2019,7.983441353,35.42703629,60.61999893,54.72000122
3/21/2019,8.152302742,35.76215363,62.31000137,54.80400085
3/22/2019,8.011583328,34.89084625,61.63000107,52.90599823
3/25/2019,7.983441353,35.18766022,61.61999893,52.08399963
3/26/2019,8.217971802,35.30256271,62.88000107,53.55400085
3/27/2019,8.086634636,35.05361557,63.84000015,54.9659996
3/28/2019,8.227353096,35.48448944,63.68000031,55.72399902
3/29/2019,8.236733437,35.52278519,69.80000305,55.97200012
4/1/2019,8.424358368,36.15472794,69.06999969,57.83599854
4/2/2019,8.452501297,36.20260239,69.79000092,57.17599869
4/3/2019,8.565077782,36.7579422,71.19999695,58.36199951
4/4/2019,8.668272018,37.14093781,72.08999634,53.55599976
4/5/2019,8.677652359,37.28456116,72.04000092,54.99200058
4/8/2019,8.72455883,37.39946365,72.69999695,54.63999939
4/9/2019,8.640128136,37.20796585,73.30999756,54.4620018
4/10/2019,8.752702713,37.58138275,74.30999756,55.2120018
4/11/2019,8.808989525,37.65798187,73.90000153,53.68399811
